# Names as the catalog and directory write them, mapped to the name the same
# building carries in OpenStreetMap. Leave osm blank for a building OSM has
# never heard of; `bun scripts/pin-buildings.mjs` finds those in Cedarville's
# own campus tour and writes their outlines to data/tour-buildings.json.
label	osm
Engineering and Science Ctr	Engineering and Science Center
Ctr for Bib and Theo Studies	Center for Biblical and Theological Studies
Scharnberg Bus and Comm Center	Scharnberg Business and Communication Center
Tyler Digital Comm Center	Tyler Digital Communications Center
Health Sciences Center	Health Sciences Center
Apple Technology Resource Ctr	Apple Technology Resource Center
Callan Athletic Center	Callan Athletic Center
Milner	Milner Business Administration Building
Chemistry Lab Center	Chemistry Laboratory Center
Dixon Ministry Center	Dixon Ministry Center
Civil Engineering Center	Civil Engineering Center
Centennial Library	Centennial Library
History and Government Center	History and Government Center
Faith Hall	Faith Hall
Lawlor Hall	Lawlor Hall
Maddox Hall	Maddox Hall
Marshall Hall	Marshall Hall
McChesney Hall	McChesney Hall
McKinney Hall	McKinney Hall
Morton Hall	Morton Hall
Printy Hall	Printy Hall
Willetts Hall	Willetts Hall
# OSM has no polygon for these six. Their outlines come from the campus tour.
Brock Hall
Johnson Hall
Murdoch Hall
Murphy Hall
Rickard Hall
St Clair Hall
# Buildings the directory writes under a name no source shares. Gromacki is the
# second campus townhouse, built in 2013 and named in 2024, which OSM still
# carries as "Townhouse 2"; the rest are the directory's abbreviations.
Ambassador	Ambassador Hall
Engineering Project Lab	Engineering Projects Laboratory
Gromacki Hall	Townhouse 2
Davis House	Davis House
Fit-Rec Center	Fitness Recreation Center
Carnegie Cntr for Visual Arts	Carnegie Center for the Visual Arts
Graduate and Teaching Services	Graduate and Teaching Services
